loggingTime;loggingSample;identifierForVendor;deviceID;locationTimestamp_since1970;locationLatitude;locationLongitude;locationAltitude;locationSpeed;locationCourse;locationVerticalAccuracy;locationHorizontalAccuracy;locationFloor;locationHeadingTimestamp_since1970;locationHeadingX;locationHeadingY;locationHeadingZ;locationTrueHeading;locationMagneticHeading;locationHeadingAccuracy;accelerometerTimestamp_sinceReboot;accelerometerAccelerationX;accelerometerAccelerationY;accelerometerAccelerationZ;gyroTimestamp_sinceReboot;gyroRotationX;gyroRotationY;gyroRotationZ;magnetometerTimestamp_sinceReboot;magnetometerX;magnetometerY;magnetometerZ;motionTimestamp_sinceReboot;motionYaw;motionRoll;motionPitch;motionRotationRateX;motionRotationRateY;motionRotationRateZ;motionUserAccelerationX;motionUserAccelerationY;motionUserAccelerationZ;motionAttitudeReferenceFrame;motionQuaternionX;motionQuaternionY;motionQuaternionZ;motionQuaternionW;motionGravityX;motionGravityY;motionGravityZ;motionMagneticFieldX;motionMagneticFieldY;motionMagneticFieldZ;motionMagneticFieldCalibrationAccuracy;activityTimestamp_sinceReboot;activity;activityActivityConfidence;activityActivityStartDate;altimeterTimestamp_sinceReboot;altimeterReset;altimeterRelativeAltitude;altimeterPressure;IP_en0;IP_pdp_ip0;deviceOrientation;batteryState;batteryLevel;avAudioRecorderPeakPower;avAudioRecorderAveragePower;label
1556984810.452425;161;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984810.434697;27.67398834228516;-2.482593536376953;29.45346069335938;322.9688415527344;329.74267578125;125;86174.269439375;0.0164642333984375;0.9939422607421875;-0.0716094970703125;86174.262420375;-0.009588711504830297;0.007706389246362292;0.008828645329721682;86174.25988737501;49.99488830566406;51.20672607421875;-414.8486633300781;86174.26144437501;2.246202569910791;0.1470429102024189;-1.494520968213394;-0.0003295596688985825;-0.0007633552886545658;0.001826954074203968;0.005131751298904419;-0.003774821758270264;0.003450512886047363;2;-0.3419832587242126;-0.5876713991165161;0.6378626227378845;0.3616919815540314;0.01116461120545864;0.9970924258232117;-0.07537955790758133;27.6679801940918;-2.469623565673828;29.3504638671875;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-27.22461;0
1556984810.462367;162;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984810.459241;27.6679801940918;-2.469623565673828;29.3504638671875;322.9695739746094;329.743408203125;125;86174.279480375;0.0167083740234375;0.9942169189453125;-0.071746826171875;86174.272430375;-0.008322644722606628;0.007569502766332219;0.008383364795460434;86174.279358375;49.92459106445312;51.08346557617188;-414.6711120605469;86174.271454375;2.246180039984731;0.1470282485703734;-1.494523981566502;-0.001087276265025139;0.0003802720457315445;-0.0006418591365218163;0.005255520343780518;-0.003027558326721191;0.003965497016906738;2;-0.3419855535030365;-0.5876716375350952;0.6378598809242249;0.3616941571235657;0.01116293389350176;0.9970926642417908;-0.07537585496902466;27.6679801940918;-2.469623565673828;29.3504638671875;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-27.78592;0
1556984810.472968;163;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984810.459241;27.6679801940918;-2.469623565673828;29.3504638671875;322.9695739746094;329.743408203125;125;86174.28948937501;0.0167236328125;0.99432373046875;-0.0721282958984375;86174.282440375;-0.01111496912555471;0.00695750834783201;0.00939350179692749;86174.279358375;49.92459106445312;51.08346557617188;-414.6711120605469;86174.28146337501;2.246217719731141;0.1470720907984695;-1.494525390978356;0.000240841880440712;0.0006167609244585037;0.000592515803873539;0.00571027398109436;-0.002722501754760742;0.003322243690490723;2;-0.3419886231422424;-0.5876708626747131;0.6378586292266846;0.3616946637630463;0.01116595882922411;0.9970927834510803;-0.07537347823381424;27.55217361450195;-2.620822906494141;29.54266357421875;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-27.78592;0
1556984810.482432;164;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984810.459241;27.6679801940918;-2.469623565673828;29.3504638671875;322.9695739746094;329.743408203125;125;86174.299499375;0.0164794921875;0.993804931640625;-0.071868896484375;86174.29248037501;-0.01017221009966666;0.008295746795596828;0.009099755128691749;86174.298828375;49.73214721679688;51.38761901855469;-414.348876953125;86174.29150437501;2.246279687578334;0.1471336519902048;-1.494537144661842;-0.001809213310480118;-0.001042364165186882;-0.000368878711014986;0.005417376756668091;-0.002982795238494873;0.003096580505371094;2;-0.341991662979126;-0.5876742005348206;0.6378556489944458;0.3616916537284851;0.01116892136633396;0.997093677520752;-0.0753614753484726;27.55217361450195;-2.620822906494141;29.54266357421875;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.41734;0
1556984810.492573;165;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984810.484982;27.46981048583984;-2.391872406005859;29.67758178710938;322.9702453613281;329.7440795898438;125;86174.309509375;0.016876220703125;0.9932708740234375;-0.0720062255859375;86174.302490375;-0.009314938544770151;0.006000368252057532;0.007913316863061449;86174.298828375;49.73214721679688;51.38761901855469;-414.348876953125;86174.301513375;2.246392157022924;0.1472566504708611;-1.494541592112309;-0.0007508732378482819;0.001608013175427914;0.0009688269346952438;0.005210161209106445;-0.003348946571350098;0.003611564636230469;2;-0.3419985473155975;-0.5876719951629639;0.6378539204597473;0.361691951751709;0.01117776613682508;0.9970940351486206;-0.07535723596811295;27.46981048583984;-2.391872406005859;29.67758178710938;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.41734;0
1556984810.503039;166;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.484982;27.46981048583984;-2.391872406005859;29.67758178710938;322.9702453613281;329.7440795898438;125;86174.31954937501;0.0164031982421875;0.9942169189453125;-0.072540283203125;86174.312500375;-0.008692291481909626;0.007437409976264289;0.008587362934960504;86174.318298375;49.76878356933594;51.05818176269531;-414.513427734375;86174.311523375;2.246278820513894;0.1471375072448164;-1.494547225942755;-0.001055414788424969;-0.0005001588724553585;-0.002198840491473675;0.005952537059783936;-0.003959834575653076;0.003178954124450684;2;-0.3419945538043976;-0.5876765251159668;0.6378517746925354;0.3616920411586761;0.01116782240569592;0.997094452381134;-0.07535205036401749;27.46981048583984;-2.391872406005859;29.67758178710938;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.41734;0
1556984810.512517;167;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.508635;27.58266830444336;-2.5693359375;29.55450439453125;322.97021484375;329.7440490722656;125;86174.32955937501;0.01641845703125;0.9937744140625;-0.072265625;86174.32250937501;-0.0109466573446617;0.009487245067298278;0.00728587611023878;86174.318298375;49.76878356933594;51.05818176269531;-414.513427734375;86174.32153337501;2.246271871499735;0.1471304797848773;-1.494553572775531;-0.001019462011754513;-0.0004780548624694347;-0.000776978675276041;0.004870712757110596;-0.002739489078521729;0.002928256988525391;2;-0.3419951796531677;-0.5876790285110474;0.6378495693206787;0.3616912066936493;0.0111662819981575;0.9970949292182922;-0.07534531503915787;27.58266830444336;-2.5693359375;29.55450439453125;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.52868;0
1556984810.522464;168;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.508635;27.58266830444336;-2.5693359375;29.55450439453125;322.97021484375;329.7440490722656;125;86174.33956937501;0.0163421630859375;0.9941864013671875;-0.0722808837890625;86174.33255037501;-0.009903497145677663;0.006674680640065595;0.006697850141549284;86174.337768375;50.12370300292969;51.00189208984375;-414.5549926757812;86174.33157337501;2.246373823326681;0.1472396289303771;-1.494560927951186;-0.00111840944737196;0.00113806314766407;0.001431913115084171;0.005229592323303223;-0.003441691398620605;0.003043174743652344;2;-0.3420011103153229;-0.5876786708831787;0.6378473043441772;0.3616903126239777;0.01117360778152943;0.9970954656600952;-0.07533804327249527;27.58266830444336;-2.5693359375;29.55450439453125;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.52868;0
1556984810.532946;169;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.508635;27.58266830444336;-2.5693359375;29.55450439453125;322.97021484375;329.7440490722656;125;86174.349609375;0.016082763671875;0.9941864013671875;-0.07196044921875;86174.342559375;-0.01119726080323816;0.008510397579457214;0.008339955269692143;86174.337768375;50.12370300292969;51.00189208984375;-414.5549926757812;86174.341583375;2.246359383615935;0.1472233179471866;-1.49456062787424;-0.0003780508413910866;-0.0001453142613172531;-0.0006775767542421818;0.005047887563705444;-0.002892494201660156;0.003179728984832764;2;-0.3420000374317169;-0.5876795649528503;0.6378473043441772;0.3616897463798523;0.01117225829511881;0.9970954656600952;-0.07533740997314453;27.79724884033203;-2.694610595703125;29.53396606445312;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.74085;0
1556984810.542555;170;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.53481;27.79724884033203;-2.694610595703125;29.53396606445312;322.9695739746094;329.743408203125;125;86174.359619375;0.016693115234375;0.993438720703125;-0.0721588134765625;86174.352569375;-0.01000416463488266;0.007690942912039832;0.007007309460216491;86174.357238375;50.20492553710938;50.94784545898438;-414.9508056640625;86174.351593375;2.246407709726454;0.1472613097104613;-1.494568748449333;-0.00223955325782299;-0.001169500406831503;-0.0005544996820390224;0.005152881145477295;-0.002923667430877686;0.003385782241821289;2;-0.3419991135597229;-0.5876833200454712;0.6378471851348877;0.3616848289966583;0.01117406133562326;0.997096061706543;-0.07532984018325806;27.79724884033203;-2.694610595703125;29.53396606445312;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-28.74085;0
1556984810.5533;171;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.53481;27.79724884033203;-2.694610595703125;29.53396606445312;322.9695739746094;329.743408203125;125;86174.36962937501;0.0167694091796875;0.99371337890625;-0.0722503662109375;86174.36257937501;-0.01051442629974184;0.007512511119004523;0.008604673482046018;86174.357238375;50.20492553710938;50.94784545898438;-414.9508056640625;86174.36160237501;2.246373036192653;0.1472255972279494;-1.494563657605594;0.001207375898957253;0.001050776802003384;-0.001491932664066553;0.005642920732498169;-0.003609776496887207;0.003209412097930908;2;-0.3419972956180573;-0.5876815915107727;0.6378489136695862;0.3616864383220673;0.01117228344082832;0.9970957040786743;-0.07533639669418335;27.8855094909668;-2.705715179443359;29.24398803710938;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-29.10357;0
1556984810.562569;172;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.560706;27.8855094909668;-2.705715179443359;29.24398803710938;322.9687805175781;329.7426147460938;125;86174.379638375;0.01708984375;0.9932403564453125;-0.0712890625;86174.372619375;-0.009680590562438031;0.007111172742729582;0.007779892492448479;86174.37670937501;50.46087646484375;51.16732788085938;-415.0008850097656;86174.37164337501;2.246318262711672;0.1471573346559431;-1.494561629647841;0.001218849793076515;-0.002311800140887499;-0.001740479376167059;0.005586802959442139;-0.003457009792327881;0.003181099891662598;2;-0.3419913053512573;-0.587684154510498;0.6378511786460876;0.3616838753223419;0.01116734929382801;0.99709552526474;-0.07533856481313705;27.8855094909668;-2.705715179443359;29.24398803710938;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-29.10357;0
1556984810.572616;173;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.560706;27.8855094909668;-2.705715179443359;29.24398803710938;322.9687805175781;329.7426147460938;125;86174.389679375;0.017425537109375;0.9940338134765625;-0.0714111328125;86174.382629375;-0.009178318380849086;0.005989715607697214;0.009699232690068586;86174.37670937501;50.46087646484375;51.16732788085938;-415.0008850097656;86174.381652375;2.246312063229733;0.1471502336454885;-1.494559309073524;-0.000100480392575264;0.0001082140952348709;-0.0006770794279873371;0.006151705980300903;-0.003930032253265381;0.004082858562469482;2;-0.3419905006885529;-0.5876839160919189;0.6378518342971802;0.3616837859153748;0.01116704940795898;0.9970953464508057;-0.07534022629261017;27.99894332885742;-2.550453186035156;29.26260375976562;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-29.10357;0
1556984810.582614;174;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.560706;27.8855094909668;-2.705715179443359;29.24398803710938;322.9687805175781;329.7426147460938;125;86174.39968837501;0.0159454345703125;0.994476318359375;-0.0717010498046875;86174.392639375;-0.01062521380108914;0.008230499348889886;0.008386027956550513;86174.39617937501;50.12867736816406;51.23094177246094;-414.7620239257812;86174.39166237501;2.246431918589198;0.1472593594969697;-1.494553536949778;-4.905927926301956e-05;-0.002352271229028702;0.0007724659517407417;0.005944401025772095;-0.002876698970794678;0.003689825534820557;2;-0.3419892489910126;-0.5876830816268921;0.6378564834594727;0.3616780340671539;0.01117599662393332;0.9970949292182922;-0.07534389942884445;27.99894332885742;-2.550453186035156;29.26260375976562;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-29.4131;0
1556984810.59262;175;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.5851;27.76519393920898;-2.480571746826172;29.385986328125;322.9684448242188;329.7422790527344;125;86174.40969837501;0.0160369873046875;0.9942169189453125;-0.0723724365234375;86174.40267937501;-0.01022760385034031;0.006959372560595065;0.007652060760124675;86174.39617937501;50.12867736816406;51.23094177246094;-414.7620239257812;86174.401703375;2.246466568068119;0.1473000568880243;-1.494556192575808;-0.0002677049487829208;0.0008672238327562809;-0.0006691031157970428;0.004766672849655151;-0.002602279186248779;0.003565549850463867;2;-0.3419924676418304;-0.5876821279525757;0.6378551721572876;0.3616789579391479;0.01117880921810865;0.9970951080322266;-0.07534173876047134;27.76519393920898;-2.480571746826172;29.385986328125;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-29.4131;0
1556984810.602653;176;0;0;1556984810.494799;4.403304347318313;-75.14718021543011;963.2403;-1;-1;10;65;-9999;1556984810.5851;27.76519393920898;-2.480571746826172;29.385986328125;322.9684448242188;329.7422790527344;125;86174.419708375;0.0165863037109375;0.99420166015625;-0.0722198486328125;86174.41268937501;-0.008514126004983325;0.008882707499850291;0.008149539251751476;86174.41564937501;49.78033447265625;51.267333984375;-414.5387573242188;86174.411712375;2.246516498796566;0.1473590205023567;-1.494562435446402;-0.0010714465752244;0.00116358557716012;0.000560445711016655;0.005037844181060791;-0.002907991409301758;0.002703666687011719;2;-0.3419974148273468;-0.5876823663711548;0.6378520131111145;0.3616794049739838;0.01118226163089275;0.9970955848693848;-0.07533440738916397;27.76519393920898;-2.480571746826172;29.385986328125;2;86173.227441375;2;0;1556984809.414899;86171.556686;0;0.121582;90.53268;3232235846;179021379;2;1;0.37;-20.87644;-29.59127;0
